Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.316000E+03; -0.823536E+01; -0.196120E+04;  0.000000E+00; -0.196943E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.902790E+04;  0.316000E+03; -0.823608E+01; -0.193990E+04;  0.000000E+00; -0.194814E+04
  0.589980E+04;  0.101883E+04;  0.223482E-01;  0.900377E+04;  0.316000E+03; -0.823758E+01; -0.191718E+04;  0.000000E+00; -0.192541E+04
  0.588159E+04;  0.101797E+04;  0.264625E-01;  0.902926E+04;  0.316000E+03; -0.823880E+01; -0.191192E+04;  0.000000E+00; -0.192016E+04
  0.587926E+04;  0.102071E+04;  0.287160E-01;  0.910141E+04;  0.316000E+03; -0.824067E+01; -0.190924E+04;  0.000000E+00; -0.191748E+04
  0.577339E+04;  0.102909E+04;  0.286776E-01;  0.909980E+04;  0.316000E+03; -0.824062E+01; -0.188791E+04;  0.000000E+00; -0.189615E+04
  0.565601E+04;  0.103928E+04;  0.294280E-01;  0.909149E+04;  0.316000E+03; -0.824066E+01; -0.186938E+04;  0.000000E+00; -0.187762E+04
  0.561477E+04;  0.107693E+04;  0.295166E-01;  0.909363E+04;  0.316000E+03; -0.824074E+01; -0.185506E+04;  0.000000E+00; -0.186330E+04
  0.552470E+04;  0.107753E+04;  0.271910E-01;  0.908748E+04;  0.316000E+03; -0.823987E+01; -0.184880E+04;  0.000000E+00; -0.185704E+04
  0.552470E+04;  0.109225E+04;  0.338402E-01;  0.912910E+04;  0.316000E+03; -0.824325E+01; -0.184537E+04;  0.000000E+00; -0.185361E+04
  0.547860E+04;  0.109908E+04;  0.342919E-01;  0.912354E+04;  0.316000E+03; -0.824325E+01; -0.184183E+04;  0.000000E+00; -0.185008E+04
  0.534252E+04;  0.111771E+04;  0.224031E-01;  0.913209E+04;  0.316000E+03; -0.823978E+01; -0.183509E+04;  0.000000E+00; -0.184333E+04
  0.533579E+04;  0.111680E+04;  0.266669E-01;  0.917244E+04;  0.316000E+03; -0.824247E+01; -0.183530E+04;  0.000000E+00; -0.184354E+04
  0.526445E+04;  0.112433E+04;  0.233381E-01;  0.917315E+04;  0.316000E+03; -0.824158E+01; -0.183364E+04;  0.000000E+00; -0.184188E+04
  0.524290E+04;  0.112699E+04;  0.258067E-01;  0.919842E+04;  0.316000E+03; -0.824343E+01; -0.183352E+04;  0.000000E+00; -0.184176E+04
  0.529213E+04;  0.112699E+04;  0.234250E-01;  0.922139E+04;  0.316000E+03; -0.824398E+01; -0.183360E+04;  0.000000E+00; -0.184184E+04
  0.522003E+04;  0.114819E+04;  0.145060E-01;  0.922903E+04;  0.316000E+03; -0.824253E+01; -0.183077E+04;  0.000000E+00; -0.183902E+04
  0.513881E+04;  0.115941E+04;  0.606014E-02;  0.920984E+04;  0.316000E+03; -0.824051E+01; -0.183017E+04;  0.000000E+00; -0.183841E+04
  0.514079E+04;  0.116091E+04;  0.301921E-02;  0.921032E+04;  0.316000E+03; -0.824039E+01; -0.182993E+04;  0.000000E+00; -0.183817E+04
  0.516884E+04;  0.118185E+04;  0.182832E-02;  0.918313E+04;  0.316000E+03; -0.823902E+01; -0.182753E+04;  0.000000E+00; -0.183577E+04
  0.508539E+04;  0.119881E+04;  0.685642E-02;  0.918688E+04;  0.316000E+03; -0.823943E+01; -0.182775E+04;  0.000000E+00; -0.183599E+04
  0.515139E+04;  0.119881E+04;  0.702220E-02;  0.920041E+04;  0.316000E+03; -0.824010E+01; -0.182645E+04;  0.000000E+00; -0.183469E+04
  0.529816E+04;  0.120696E+04;  0.678532E-02;  0.915163E+04;  0.316000E+03; -0.823794E+01; -0.182496E+04;  0.000000E+00; -0.183320E+04
  0.538429E+04;  0.119694E+04;  0.362071E-02;  0.921189E+04;  0.316000E+03; -0.824049E+01; -0.182713E+04;  0.000000E+00; -0.183537E+04
  0.533615E+04;  0.119355E+04;  0.361145E-02;  0.921436E+04;  0.316000E+03; -0.824062E+01; -0.182663E+04;  0.000000E+00; -0.183487E+04
  0.532058E+04;  0.118149E+04; -0.176005E-02;  0.922090E+04;  0.316000E+03; -0.824092E+01; -0.182782E+04;  0.000000E+00; -0.183606E+04
  0.520693E+04;  0.119881E+04;  0.373699E-02;  0.923133E+04;  0.316000E+03; -0.824157E+01; -0.182586E+04;  0.000000E+00; -0.183410E+04
  0.531030E+04;  0.121408E+04;  0.452989E-02;  0.923060E+04;  0.316000E+03; -0.824157E+01; -0.182460E+04;  0.000000E+00; -0.183285E+04
  0.538481E+04;  0.121151E+04; -0.851251E-02;  0.922835E+04;  0.316000E+03; -0.824173E+01; -0.182660E+04;  0.000000E+00; -0.183484E+04
  0.530680E+04;  0.121620E+04; -0.571537E-02;  0.928728E+04;  0.316000E+03; -0.824530E+01; -0.182484E+04;  0.000000E+00; -0.183309E+04
  0.532678E+04;  0.121360E+04; -0.109185E-02;  0.927746E+04;  0.316000E+03; -0.824444E+01; -0.182503E+04;  0.000000E+00; -0.183328E+04
  0.530565E+04;  0.122130E+04; -0.295153E-02;  0.926534E+04;  0.316000E+03; -0.824366E+01; -0.182431E+04;  0.000000E+00; -0.183256E+04
  0.519681E+04;  0.123164E+04; -0.561187E-02;  0.935024E+04;  0.316000E+03; -0.825031E+01; -0.182387E+04;  0.000000E+00; -0.183212E+04
  0.516425E+04;  0.123164E+04; -0.650767E-02;  0.936950E+04;  0.316000E+03; -0.825211E+01; -0.182428E+04;  0.000000E+00; -0.183253E+04
  0.530321E+04;  0.122776E+04; -0.522119E-02;  0.934441E+04;  0.316000E+03; -0.824979E+01; -0.182397E+04;  0.000000E+00; -0.183222E+04
  0.530321E+04;  0.123582E+04; -0.402687E-02;  0.932991E+04;  0.316000E+03; -0.824850E+01; -0.182334E+04;  0.000000E+00; -0.183159E+04
  0.536405E+04;  0.124762E+04; -0.480118E-02;  0.931909E+04;  0.316000E+03; -0.824766E+01; -0.182319E+04;  0.000000E+00; -0.183144E+04
  0.535076E+04;  0.125753E+04;  0.845310E-03;  0.932881E+04;  0.316000E+03; -0.824833E+01; -0.182216E+04;  0.000000E+00; -0.183041E+04
  0.535076E+04;  0.127042E+04;  0.243481E-02;  0.929821E+04;  0.316000E+03; -0.824596E+01; -0.182133E+04;  0.000000E+00; -0.182958E+04
  0.533910E+04;  0.128879E+04;  0.172766E-02;  0.933079E+04;  0.316000E+03; -0.824850E+01; -0.182036E+04;  0.000000E+00; -0.182860E+04
  0.528507E+04;  0.129739E+04;  0.351508E-02;  0.932090E+04;  0.316000E+03; -0.824775E+01; -0.181982E+04;  0.000000E+00; -0.182807E+04
